label;image;distracted;IoU;MCC;F1
1;IMD2020/splicing/c979s43_0.jpg;True;0.0300094373524189;0.12400251552791089;0.05827021782379852
1;IMD2020/splicing/c9o0hnh_0.jpg;True;0.5273703336715698;0.6596286907062894;0.6905598764233037
1;IMD2020/splicing/c9f0n0z_0.jpg;True;0.5039150714874268;0.6900533759989192;0.6701376723159413
1;IMD2020/splicing/c9pmrb5_0.jpg;True;0.010559496469795704;-0.005694368444101404;0.02089831706039521
1;IMD2020/splicing/c8vi1sj_0.png;True;0.01273797545582056;0.07538825012456139;0.025155519890179306
1;IMD2020/splicing/c9j64u7_0.jpg;True;0.13624095916748047;0.23269882438155523;0.23980997295704995
1;IMD2020/splicing/c9rci56_0.jpg;True;0.1887035369873047;0.0775361704706504;0.3174947129106464
1;IMD2020/splicing/c8ttxcu_0.jpg;True;0.5894479155540466;0.7303503959905173;0.7417014695435029
1;IMD2020/splicing/c94s1ue_0.jpg;True;0.3835054934024811;0.434635339211786;0.5543968069812301
1;IMD2020/splicing/c92hsr5_0.jpg;True;0.2690182626247406;0.48744686641991797;0.4239785391620637
1;IMD2020/splicing/c95c3yu_0.png;True;0.3224065601825714;0.22830480595466188;0.487605792139085
1;IMD2020/splicing/c9ic90m_0.jpg;True;0.3266218304634094;0.31394655183802944;0.492411382106711
1;IMD2020/splicing/c9qhgpe_0.jpg;True;0.581317126750946;0.7387114026629027;0.7352315633053704
1;IMD2020/splicing/c8zj217_0.jpg;True;0.16921478509902954;0.07112865410487801;0.289450292571056
1;IMD2020/splicing/c9roi3w_0.jpg;True;0.6052843332290649;0.7247047510474965;0.7541147928492916
1;IMD2020/splicing/c8v3tc5_0.png;True;0.2493273913860321;0.21435106347801436;0.39913858962432164
1;IMD2020/splicing/c9nvi4n_0.jpg;True;0.047889795154333115;0.033132932699202915;0.09140235498731557
1;IMD2020/splicing/c9k2t5d_0.jpg;True;0.10109623521566391;0.1984487597919392;0.183628338191057
1;IMD2020/splicing/c9uanxz_0.jpg;True;0.8375117778778076;0.9077156845757618;0.9115715871012483
1;IMD2020/splicing/c9u6xhp_0.jpg;True;0.8449758291244507;0.9103793293299873;0.9159749772336189
1;IMD2020/splicing/c90z7wb_0.png;True;0.29301223158836365;0.3698931904345526;0.45322424465948197
1;IMD2020/splicing/c9wxubr_0.jpg;True;0.0015161271439865232;0.03318199441395969;0.003027663984789078
1;IMD2020/splicing/c9ved2o_0.png;True;0.29291409254074097;0.3573423513376597;0.4531067932607691
1;IMD2020/splicing/c9u5f90_0.jpg;True;0.6711928248405457;0.7981938397433679;0.8032500413371234
1;IMD2020/splicing/c8vejd9_0.jpg;True;0.07577195763587952;0.1288992323430413;0.1408699301387998
1;IMD2020/splicing/c9je6ik_0.jpg;True;0.177531436085701;0.4082570465151325;0.3015315377649948
1;IMD2020/splicing/c9dvojg_0.jpg;True;0.15259499847888947;0.22456030457929382;0.2647851123427854
1;IMD2020/splicing/c95srb7_0.jpg;True;0.8613802790641785;0.9196688380630179;0.9255285464987807
1;IMD2020/splicing/c9dmses_0.jpg;True;0.7814431190490723;0.8732387504884993;0.8773147328610224
1;IMD2020/splicing/c9ryjzh_0.jpg;True;0.14998112618923187;0.23742216684624048;0.2608410344023833
1;IMD2020/splicing/c9epo48_0.jpg;True;0.20633570849895477;0.27239505089030724;0.34208671746377833
1;IMD2020/splicing/c9fprtk_0.jpg;True;0.5171148180961609;0.662550393578866;0.6817082286908492
1;IMD2020/splicing/c96cglv_0.jpg;True;0.268850177526474;0.22304562903335962;0.4237697664321155
1;IMD2020/splicing/c9codtz_0.png;True;0.3249153196811676;0.44911977929140756;0.49046956678788983
1;IMD2020/splicing/c9fntrg_0.jpg;True;0.5686927437782288;0.702624941448058;0.7250530976430701
1;IMD2020/splicing/c92coio_0.jpg;True;0.8406433463096619;0.9011310114193;0.9134233988818092
1;IMD2020/splicing/c9pur9b_0.jpg;True;0.07404284924268723;0.21745338858314756;0.1378769051837551
1;IMD2020/splicing/c9nqp2a_0.jpg;True;0.4920247793197632;0.6397511036027617;0.6595397116531082
1;IMD2020/splicing/c9oce7b_0.jpg;True;0.6039774417877197;0.7515525990088612;0.7530996520747121
1;IMD2020/splicing/c9ubdgk_0.jpg;True;0.12940160930156708;0.16158530848304845;0.22915076033033205
1;IMD2020/splicing/c91ot4e_0.jpg;True;0.6739963293075562;0.8001825445993496;0.8052542414621736
1;IMD2020/splicing/c9o1y6b_0.jpg;True;0.1272626370191574;0.11844345193788845;0.22579058944503683
1;IMD2020/splicing/00016_fake.jpg;True;0.20027592778205872;0.1472327801237441;0.3337164659864405
1;IMD2020/splicing/c9ojssa_0.jpg;True;0.11820442229509354;0.24800571195398072;0.2114182700682533
1;IMD2020/splicing/c92q0xi_0.jpg;True;0.85496586561203;0.9145460613459028;0.9218130502707007
1;IMD2020/splicing/c9bk4ex_0.jpg;True;0.07537688314914703;0.10656091846160004;0.14018691056029275
1;IMD2020/splicing/c9clks3_0.jpg;True;0.2250126600265503;0.38403248189138156;0.36736382597435085
1;IMD2020/splicing/c8swtoq_0.jpg;True;0.3510494828224182;0.5628580102744727;0.5196693035462399
1;IMD2020/splicing/00095_fake.jpg;True;0.3820997178554535;0.4462357547760542;0.5529263941091441
1;IMD2020/splicing/c9pn1hj_0.jpg;True;0.1401853710412979;0.19785135712381544;0.24589926108888233
1;IMD2020/splicing/c92onbn_0.png;True;0.09886232763528824;0.25766191530604354;0.17993579659941478
1;IMD2020/splicing/c9d6jfi_0.jpg;True;0.18573731184005737;0.40113425639124944;0.31328577285273657
1;IMD2020/splicing/c9u8l4u_0.jpg;True;0.17378835380077362;0.27490016638459297;0.2961153091717534
1;IMD2020/splicing/c9vgr3d_0.jpg;True;0.3008427619934082;0.4374841519373641;0.4625351909169096
1;IMD2020/splicing/c949yvb_0.jpg;True;0.09800612181425095;0.1748069157816903;0.17851652820698444
1;IMD2020/splicing/c9a0ogm_0.jpg;True;0.1951495260000229;0.14558937032340108;0.326569215971371
1;IMD2020/splicing/c99ml73_0.jpg;True;0.20331427454948425;0.40330543035260646;0.3379238191930776
1;IMD2020/splicing/c9hx5lf_0.jpg;True;0.18879632651805878;0.25356313856653034;0.3176260071621547
1;IMD2020/splicing/c92gt3h_0.jpg;True;0.1820470243692398;0.28298644092559616;0.3080199484499311
1;IMD2020/splicing/c9cetkp_0.png;True;0.14316362142562866;0.24297048980156521;0.2504691759050454
1;IMD2020/splicing/c9telos_0.jpg;True;0.06167622283101082;0.229657546779485;0.11618650304431655
1;IMD2020/splicing/c92rwnu_0.png;True;0.16813020408153534;0.3594507784575659;0.2878620954135713
1;IMD2020/splicing/c94ilwx_0.jpg;True;0.030109209939837456;-0.08442361348001415;0.058458287612002446
1;IMD2020/splicing/c99grkg_0.jpg;True;0.1870812177658081;0.31490242808363794;0.3151952926955951
1;IMD2020/splicing/c929r39_0.jpg;True;0.19376756250858307;0.29566266038025685;0.3246319699823098
1;IMD2020/splicing/c9o1yg4_0.jpg;True;0.0007396172732114792;-0.0009146267036729074;0.0014781412297029662
1;IMD2020/splicing/c9nbxwv_0.jpg;True;0.17521676421165466;0.10942215858026817;0.29818626703283607
1;IMD2020/splicing/c9lt1dp_0.jpg;True;0.24763581156730652;0.34581762951365663;0.39696810569385205
1;IMD2020/splicing/c9houy2_0.jpg;True;0.724356472492218;0.8397600009718835;0.8401470277987491
1;IMD2020/splicing/c98trtt_0.jpg;True;0.6224249601364136;0.7193200590331688;0.7672773320029328
1;IMD2020/splicing/c928z82_0.jpg;True;0.7007870078086853;0.7569497789915276;0.8240737889547399
1;IMD2020/splicing/c9sb09t_0.jpg;True;0.6657443642616272;0.8015557294069677;0.7993355739226509
1;IMD2020/splicing/c9n9bnt_0.jpg;True;0.3984593451023102;0.5584542549683901;0.5698547385703889
1;IMD2020/splicing/c9026js_0.jpg;True;0.49909648299217224;0.5809846602821513;0.6658630179521677
1;IMD2020/splicing/00011_fake.jpg;True;0.1259177029132843;0.2517727646333135;0.22367124792515755
1;IMD2020/splicing/c9rj3zp_0.jpg;True;0.3793327510356903;0.5553486510860874;0.5500235789364815
1;IMD2020/splicing/c99ilht_0.jpg;True;0.3262232840061188;0.31909902264202666;0.4919583250126791
1;IMD2020/splicing/c9nv7k9_0.png;True;0.7072718143463135;0.7987652649003045;0.8285403954340955
1;IMD2020/splicing/c8zta7f_0.jpg;True;0.3667844831943512;0.526237310062425;0.536711501236513
1;IMD2020/splicing/c9fxudz_0.jpg;True;0.30309662222862244;0.41336308222478896;0.46519438342337105
1;IMD2020/splicing/c976lta_0.jpg;True;0.45743924379348755;0.6131917369229388;0.627730082758096
1;IMD2020/splicing/c9u6sk6_0.jpg;True;0.46796393394470215;0.6180127358322952;0.6375687084206221
1;IMD2020/splicing/c9amlei_0.jpg;True;0.49950146675109863;0.6757542868425491;0.666223378238374
1;IMD2020/splicing/c9dr8ae_0.jpg;True;0.3021344542503357;0.275556202143998;0.46406028098554597
1;IMD2020/splicing/c9octsz_0.jpg;True;0.490757018327713;0.682549037052427;0.6583997322436921
1;IMD2020/splicing/c9dcvq8_0.jpg;True;0.0014941999688744545;-0.00742033946325116;0.0029839412868714606
1;IMD2020/splicing/c9bldch_0.jpg;True;0.3211555480957031;0.48777667237567407;0.48617370951392136
1;IMD2020/splicing/c95gkhl_0.jpg;True;0.6264050006866455;0.761914446002464;0.7702939927709164
1;IMD2020/splicing/c9uonxh_0.jpg;True;0.4445642828941345;0.6160146269386813;0.6154995064673009
1;IMD2020/splicing/c9az9ha_0.jpg;True;0.2982812821865082;0.5196891798115538;0.4595017576320905
1;IMD2020/splicing/c9gn94z_0.jpg;True;0.8780257701873779;0.9286682373213226;0.9350519023159162
1;IMD2020/splicing/c9trg08_0.jpg;True;0.6190676093101501;0.7589270436568043;0.7647211411040409
1;IMD2020/splicing/c9dyl8y_0.jpg;True;0.29761141538619995;0.4006921350498289;0.45870652511494303
1;IMD2020/splicing/c92cabj_0.jpg;True;0.8092540502548218;0.8820400690215696;0.8945720537748787
1;IMD2020/splicing/c9r6ey7_0.jpg;True;0.40106502175331116;0.5777406474373232;0.5725145107729752
1;IMD2020/splicing/c9bn6ip_0.jpg;True;0.06752780079841614;0.15446804529902203;0.12651249184817775
1;IMD2020/splicing/c95ugiv_0.jpg;True;0.36833229660987854;0.40769445242084673;0.5383667338021411
1;IMD2020/splicing/c92qfqu_0.png;True;0.25139284133911133;0.4606951481428166;0.40178085788030465
1;IMD2020/splicing/c9swpes_0.jpg;True;0.1759655624628067;0.32979195750566037;0.299269921432249
1;IMD2020/splicing/c99k5bh_0.jpg;True;0.8186906576156616;0.8943945988277089;0.9003077332524924
1;IMD2020/splicing/c9gfhtc_0.jpg;True;0.21586023271083832;0.3503727388018986;0.35507410060051786
1;IMD2020/splicing/c9gmqwd_0.png;True;0.561135470867157;0.7297734085560615;0.7188811883042252
1;IMD2020/splicing/c97qk9d_0.png;True;0.7418396472930908;0.8476599722951563;0.8517886732844219
1;IMD2020/splicing/c9kn2yy_0.png;True;0.05782647803425789;0.08314096866595388;0.10933074739176438
1;IMD2020/splicing/00047_fake_02.jpg;True;0.15492579340934753;0.13598668990765134;0.26828700279412343
1;IMD2020/splicing/c9qa804_0.jpg;True;0.18547660112380981;0.4100437986018309;0.312914842214815
1;IMD2020/splicing/c9b11xy_0.jpg;True;0.12851880490779877;0.23425837825946755;0.22776547253409865
1;IMD2020/splicing/c8zexo2_0.jpg;True;0.046706534922122955;0.024141026126929595;0.08924475901190086
1;IMD2020/splicing/c9xfzri_0.jpg;True;0.42655014991760254;0.564225317173491;0.5980163605988296
1;IMD2020/splicing/c9vl1l0_0.jpg;True;0.01787596568465233;0.08024422322280249;0.03512405363615314
1;IMD2020/splicing/c99twh4_0.jpg;True;0.16390551626682281;0.24389858887418567;0.2816474703976092
1;IMD2020/splicing/c9nkbnj_0.jpg;True;0.6419906616210938;0.7756957945894137;0.7819662890124859
1;IMD2020/splicing/c9qhtma_0.jpg;True;0.35543036460876465;0.3969932479204838;0.5244539125809803
1;IMD2020/splicing/c9vqeru_0.png;True;0.08175831288099289;0.16905088182296107;0.1511581935844185
1;IMD2020/splicing/c9dl27f_0.jpg;True;0.5974088907241821;0.7244479187823465;0.7479724173990574
1;IMD2020/splicing/c9vbuxe_0.jpg;True;0.584484875202179;0.6488535007028771;0.7377601098040228
1;IMD2020/splicing/c9blqqz_0.jpg;True;0.12206901609897614;-0.07649370794105945;0.21757844411944013
1;IMD2020/splicing/c8tf5mq_0.png;True;0.24170732498168945;0.14987902367678513;0.38931447180133877
1;IMD2020/splicing/c8u0wl4_0.jpg;True;0.02848110906779766;0.022839434809335448;0.05538479669422431
1;IMD2020/splicing/c9r116y_0.jpg;True;0.4505122900009155;0.6016152309049254;0.6211767905226332
1;IMD2020/splicing/c9xfmme_0.jpg;True;0.44175979495048523;0.5400658923382295;0.6128063699128172
1;IMD2020/splicing/c9czkzr_0.jpg;True;0.007222437299787998;0.06275572482924284;0.014341295151792163
1;IMD2020/splicing/c9u5rax_0.jpg;True;0.5317352414131165;0.6977546091281535;0.694291319170604
1;IMD2020/splicing/c9aj3nm_0.jpg;True;0.5569770336151123;0.5428303749498458;0.7154595625855731
1;IMD2020/splicing/c9ocka2_0.png;True;0.145368754863739;0.168605487832953;0.2538374704738569
1;IMD2020/splicing/c95l9tm_0.jpg;True;0.3167744278907776;0.5090468815687322;0.48113695269648254
1;IMD2020/splicing/c96jvav_0.jpg;True;0.12868383526802063;0.18785951512700175;0.2280245881005936
1;IMD2020/splicing/c9wakel_0.jpg;True;0.020415807142853737;-0.03773806261002609;0.04001468211044831
1;IMD2020/splicing/c9is39d_0.jpg;True;0.28773337602615356;0.398234947876881;0.4468834444884965
1;IMD2020/splicing/c9l4y7e_0.jpg;True;0.2229011207818985;0.38544658745226135;0.36454478706700716
1;IMD2020/splicing/c94f1jd_0.jpg;True;0.4413522779941559;0.6511473671766853;0.6124141571685359
1;IMD2020/splicing/c8z3l9n_0.jpg;True;0.09968962520360947;-0.1554196076598596;0.18130501545228522
1;IMD2020/splicing/c9pq1oo_0.jpg;True;0.2176545411348343;0.3144151086714335;0.3574980265190059
1;IMD2020/splicing/c9pn1gz_0.jpg;True;0.06658603996038437;0.10662874926372058;0.12485826814677017
1;IMD2020/splicing/c9eowm6_0.jpg;True;0.5382511615753174;0.6837025039709713;0.699822194957799
1;IMD2020/splicing/c9tm0rs_0.jpg;True;0.3223656713962555;0.47770506963376463;0.487559046200915
1;IMD2020/splicing/c9pqiu6_0.jpg;True;0.699782133102417;0.8106086186668751;0.8233786354431262
1;IMD2020/splicing/c9abrtp_0.jpg;True;0.11560987681150436;0.19545935414749036;0.20725861113600078
1;IMD2020/splicing/c9hk6li_0.jpg;True;0.3774990737438202;0.5213552845225504;0.5480933915451408
1;IMD2020/splicing/c9jp25w_0.jpg;True;0.6153448820114136;0.7558136950563518;0.7618742862129788
1;IMD2020/splicing/c9jpr8z_0.jpg;True;0.36843419075012207;0.41954993593837;0.5384756050134935
1;IMD2020/splicing/c99wogs_0.jpg;True;0.08741749823093414;0.13798994467631276;0.16078001441499587
1;IMD2020/splicing/c9teyfk_0.jpg;True;0.5656550526618958;0.7211023594850706;0.7225794375390732
1;IMD2020/splicing/c929k2x_0.jpg;True;0.6084107756614685;0.7584665999876421;0.7565365721404571
1;IMD2020/splicing/c8vgphr_0.jpg;True;0.5043715834617615;0.6490528334325456;0.6705412336728347
1;IMD2020/splicing/c9gd2mj_0.jpg;True;0.23477108776569366;0.3654059293748984;0.38026658336665464
1;IMD2020/splicing/c9rmr49_0.jpg;True;0.18141581118106842;0.2439121480326327;0.3071159444176419
1;IMD2020/splicing/c98iwaf_0.jpg;True;0.06017961725592613;0.030218355227190356;0.11352721169809966
